raw_name,source_field,status,type,count,examples,suggested_action
Spanish Nationalists,Winner,mapped_internal,faction,30,"Alcazar1936; Alto de Leon1936; Badajoz1936; Barcelona, Spain1936; Barcelona, Spain1938-1939",check_internal_mapping
Spanish Republicans,Loser,mapped_internal,faction,30,"Alcazar1936; Alto de Leon1936; Badajoz1936; Barcelona, Spain1936; Barcelona, Spain1938-1939",check_internal_mapping
Chinese Communists,Winner,mapped_internal,faction,28,Beijing1949; Beijing-Tianjin1948; Changchun1946; Changchun1948; Chenguanzhuang1949,check_internal_mapping
Bolsheviks,Winner,mapped_internal,faction,25,Bokhara1920; Chelyabinsk1919; Chita1920; Don Basin1919; Ekaterinburg1919,check_internal_mapping
Chinese Nationalists,Loser,mapped_internal,faction,25,Beijing-Tianjin1948; Changchun1946; Changchun1948; Chenguanzhuang1949; Huaihai1948,check_internal_mapping
Viet Cong,Loser,mapped_internal,rebel_group,25,An Loc1972; A Shau1966; Binh Gia1964; Bon Son1966; Chau Nhai1966,check_internal_mapping
Bolsheviks,Loser,mapped_internal,faction,20,Archangelsk1919; Belaya Glina1918; Chelyabinsk1918; Ekaterinburg1918; Ekaterinodar (2nd)1918,check_internal_mapping
Chinese Communists,Loser,mapped_internal,faction,17,Anhui Incident1941; Baoji1948; Canton1928; Changsha1930; Ching Kan Shan1928,check_internal_mapping
Chinese Nationalists,Winner,mapped_internal,faction,16,Anhui Incident1941; Canton1928; Changsha1930; Ching Kan Shan1928; Guangchang1934,check_internal_mapping
Constitutionalist Rebels,Winner,mapped_internal,rebel_group,15,Ciudad Juarez1913; Ciudad Victoria1913; Durango1913; Matamaros1913; Ojinaga1913,check_internal_mapping
Huerta Regime,Loser,mapped_internal,faction,15,Ciudad Juarez1913; Ciudad Victoria1913; Durango1913; Matamaros1913; Ojinaga1913,check_internal_mapping
Kuomintang,Winner,mapped_internal,faction,15,Baoding1928; Baoji1948; Beijing1928; Changsha1926; Fuzhou1926,check_internal_mapping
Russian Whites,Loser,mapped_internal,faction,14,Chita1920; Kuban1920; Novorossisk1920; Odessa1919; Perekop1920,check_internal_mapping
